paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
2024.acl-short.62,1,0.9959,0.9744,0.987012987012987,1.0,0.0,[np.float64(0.0)]
2024.acl-short.62,2,0.4718,0.582,0.7029702970297029,0.7333,1.0,[1.0]
2024.acl-short.62,3,0.1577,0.2664,0.34540389972144847,0.3654,1.0,[1.0]
2024.acl-short.62,4,0.7298,0.9191,0.9548872180451128,0.9737,1.0,[1.0]
2024.acl-short.66,1,0.6792,0.1525,0.17307692307692307,0.2143,0.7142857142857143,[np.float64(0.7142857142857143)]
2024.acl-short.66,2,0.013,0.1905,0.3116883116883117,0.2857,0.7407407407407407,[np.float64(0.7407407407407407)]
2024.acl-short.66,3,0.6824,0.5294,0.7230769230769231,0.6,0.14285714285714285,[np.float64(0.14285714285714285)]
2024.acl-short.66,4,0.0504,0.1972,0.27956989247311825,0.2759,0.7916666666666666,[np.float64(0.7916666666666666)]
2024.acl-short.66,5,0.3843,0.35,0.55,0.6486,0.8181818181818182,[np.float64(0.8181818181818182)]
2024.acl-short.66,6,0.6168,0.8788,0.9354838709677419,0.9286,1.0,[1.0]
2024.acl-short.68,1,0.5057,0.3913,0.5205479452054794,0.5,1.0,[1.0]
2024.acl-short.68,2,0.67,0.619,0.7088607594936709,0.6923,0.36363636363636365,[np.float64(0.36363636363636365)]
2024.acl-short.68,3,0.7877,0.3457,0.4258064516129032,0.2273,1.0,"[1.0, 1.0]"
2024.acl-short.68,4,0.4614,0.375,0.6024096385542169,0.5385,0.7272727272727273,[np.float64(0.7272727272727273)]
2024.acl-short.68,5,0.0,0.0591,0.0944206008583691,0.1538,1.0,[1.0]
2024.acl-short.71,1,0.7828,0.3276,0.591304347826087,0.4444,0.0,[np.float64(0.0)]
2024.acl-short.71,2,0.4202,0.2111,0.291970802919708,0.2286,1.0,[1.0]
2024.acl-short.71,3,0.9977,0.988,0.9939393939393939,1.0,0.0,[np.float64(0.0)]
2024.acl-short.71,4,1.0,1.0,1.0,1.0,0.0,[np.float64(0.0)]
2024.acl-short.71,5,0.1967,0.2989,0.48739495798319327,0.6842,0.20512820512820512,[np.float64(0.20512820512820512)]
2024.acl-short.71,6,0.77,0.3942,0.38961038961038963,0.5067,0.25,[np.float64(0.25)]
2024.acl-short.71,7,0.3339,0.2593,0.15476190476190477,0.2222,0.7878787878787878,[np.float64(0.7878787878787878)]
2024.acl-short.71,8,0.6012,0.68,0.803030303030303,0.7407,1.0,[1.0]
2024.acl-short.71,9,0.9189,0.8936,0.9281767955801105,0.9268,0.0,[np.float64(0.0)]
2024.acl-short.71,10,0.6342,0.8043,0.8862275449101796,0.8824,1.0,[1.0]
2024.acl-short.72,1,0.7826,0.4706,0.6865671641791045,0.4762,0.5945945945945946,[np.float64(0.5945945945945946)]
2024.acl-short.72,2,0.706,0.1951,0.45569620253164556,0.4,0.8888888888888888,[np.float64(0.8888888888888888)]
2024.acl-short.72,3,0.8693,0.36,0.4794520547945205,0.4651,0.0,[np.float64(0.0)]
2024.acl-short.72,4,0.8474,0.5093,0.5082872928176796,0.5185,0.7058823529411765,[np.float64(0.7058823529411765)]
ICLR_2024_oral_1,1,0.7759,0.5683,0.644927536231884,0.6757,0.9523809523809523,[np.float64(0.9523809523809523)]
ICLR_2024_oral_1,2,0.1497,0.3289,0.4878048780487805,0.5283,0.9411764705882353,[np.float64(0.9411764705882353)]
ICLR_2024_oral_1,3,0.3679,0.4701,0.5982905982905983,0.5714,1.0,[1.0]
ICLR_2024_oral_1,4,0.7525,0.866,0.8910411622276029,0.9109,0.0,[np.float64(0.0)]
ICLR_2024_oral_1,5,0.726,0.4714,0.6666666666666666,0.6923,0.6428571428571429,[np.float64(0.6428571428571429)]
ICLR_2024_oral_1,6,0.9959,0.9737,0.9866666666666667,1.0,0.0,[np.float64(0.0)]
ICLR_2024_oral_1,7,0.7269,0.5909,0.7288629737609329,0.8041,1.0,[1.0]
ICLR_2024_oral_1,8,0.5901,0.7536,0.8524590163934426,0.8387,0.125,[np.float64(0.125)]
ICLR_2024_oral_1,9,0.7563,0.4438,0.4557823129251701,0.4638,0.8888888888888888,[np.float64(0.8888888888888888)]
ICLR_2024_oral_10,1,0.7377,0.2308,0.4489795918367347,0.375,1.0,[1.0]
ICLR_2024_oral_10,2,0.6465,0.1852,0.2222222222222222,0.25,1.0,[1.0]
ICLR_2024_oral_10,3,0.7435,0.2237,0.4132231404958678,0.4324,0.5454545454545454,[np.float64(0.5454545454545454)]
ICLR_2024_oral_10,4,0.4728,0.3011,0.4246575342465753,0.3333,1.0,[1.0]
ICLR_2024_oral_10,5,0.281,0.2958,0.46153846153846156,0.4828,0.6666666666666666,[np.float64(0.6666666666666666)]
ICLR_2024_oral_10,6,0.0139,0.0811,0.14285714285714285,0.1429,0.5833333333333334,[np.float64(0.5833333333333334)]
ICLR_2024_oral_10,7,0.419,0.2254,0.25396825396825395,0.3529,0.8846153846153846,[np.float64(0.8846153846153846)]
ICLR_2024_oral_10,8,0.891,0.6462,0.7899159663865546,0.7097,1.0,[1.0]
