paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
2024.acl-short.57,3,0.6579,0.5795,0.6761363636363636,0.7097,0.8,[np.float64(0.8)]
2024.acl-short.62,1,0.9761,0.7115,0.8222222222222222,0.8571,0.13333333333333333,[np.float64(0.13333333333333333)]
2024.acl-short.62,2,0.2786,0.3443,0.4397905759162304,0.3396,1.0,[1.0]
2024.acl-short.62,3,0.5462,0.3745,0.4351648351648352,0.5455,1.0,[1.0]
2024.acl-short.62,4,0.753,0.8529,0.9056603773584906,0.9333,1.0,[1.0]
2024.acl-short.66,1,0.7548,0.2192,0.2711864406779661,0.1875,0.88,[np.float64(0.88)]
2024.acl-short.66,2,0.3299,0.4921,0.6464646464646465,0.6429,0.4074074074074074,[np.float64(0.4074074074074074)]
2024.acl-short.66,3,0.8001,0.7042,0.7769784172661871,0.6667,0.25,[np.float64(0.25)]
2024.acl-short.66,4,0.135,0.2202,0.22929936305732485,0.3404,1.0,[1.0]
2024.acl-short.66,5,0.6115,0.4,0.5757575757575758,0.5833,0.9459459459459459,[np.float64(0.9459459459459459)]
2024.acl-short.66,6,0.9255,0.9848,0.9923664122137404,1.0,1.0,[1.0]
2024.acl-short.68,1,0.7749,0.2676,0.47863247863247865,0.5294,1.0,[1.0]
2024.acl-short.68,2,0.2372,0.3571,0.5172413793103449,0.6,0.125,[np.float64(0.125)]
2024.acl-short.68,3,0.7954,0.3118,0.31137724550898205,0.2174,1.0,[1.0]
2024.acl-short.68,4,0.4603,0.3542,0.5783132530120482,0.4615,0.7272727272727273,[np.float64(0.7272727272727273)]
2024.acl-short.68,5,0.3316,0.4364,0.5673352435530086,0.5106,1.0,[1.0]
2024.acl-short.71,1,0.7307,0.4561,0.6274509803921569,0.4615,0.0,[np.float64(0.0)]
2024.acl-short.71,2,0.6316,0.4444,0.5655172413793104,0.3784,0.525,[np.float64(0.525)]
2024.acl-short.71,3,0.9977,0.988,0.9939393939393939,1.0,0.0,[np.float64(0.0)]
2024.acl-short.71,4,1.0,1.0,1.0,1.0,0.0,[np.float64(0.0)]
2024.acl-short.71,5,0.387,0.2989,0.43508771929824563,0.3846,1.0,[1.0]
2024.acl-short.71,6,0.7835,0.64,0.8,0.7917,0.5,[np.float64(0.5)]
2024.acl-short.71,7,0.3339,0.2593,0.15476190476190477,0.2222,0.7878787878787878,[np.float64(0.7878787878787878)]
2024.acl-short.71,8,0.4677,0.5333,0.6031746031746031,0.7407,1.0,[1.0]
2024.acl-short.71,9,0.8835,0.8617,0.7777777777777778,0.85,0.0,[np.float64(0.0)]
2024.acl-short.71,10,0.7478,0.9239,0.9550561797752809,0.9444,1.0,[1.0]
2024.acl-short.72,1,0.6101,0.6667,0.8070175438596491,0.5556,0.4864864864864865,[np.float64(0.4864864864864865)]
2024.acl-short.72,2,0.1645,0.3684,0.509090909090909,0.6154,0.875,[np.float64(0.875)]
2024.acl-short.72,3,0.8841,0.6038,0.7272727272727273,0.6452,0.0,[np.float64(0.0)]
2024.acl-short.72,4,0.7874,0.4333,0.47668393782383417,0.4912,0.7058823529411765,[np.float64(0.7058823529411765)]
ICLR_2024_oral_1,1,0.7147,0.7554,0.8634686346863468,0.9067,0.5,[np.float64(0.5)]
ICLR_2024_oral_1,2,0.1497,0.3289,0.4878048780487805,0.5283,0.9411764705882353,[np.float64(0.9411764705882353)]
ICLR_2024_oral_1,3,0.4923,0.5299,0.6633165829145728,0.6739,1.0,[1.0]
ICLR_2024_oral_1,4,0.7849,0.6794,0.7211538461538461,0.7238,1.0,[1.0]
ICLR_2024_oral_1,5,0.7674,0.5946,0.7457627118644068,0.8,0.2222222222222222,[np.float64(0.2222222222222222)]
ICLR_2024_oral_1,6,0.7325,0.2566,0.37333333333333335,0.3478,0.8148148148148148,[np.float64(0.8148148148148148)]
ICLR_2024_oral_1,7,0.759,0.7784,0.8636363636363636,0.8713,0.2222222222222222,[np.float64(0.2222222222222222)]
ICLR_2024_oral_1,8,0.7533,0.5694,0.7375886524822695,0.7429,0.125,[np.float64(0.125)]
ICLR_2024_oral_1,9,0.7458,0.2774,0.42748091603053434,0.3871,1.0,[1.0]
ICLR_2024_oral_10,1,0.7619,0.2586,0.3950617283950617,0.3333,1.0,[1.0]
ICLR_2024_oral_10,2,0.3611,0.1852,0.25,0.1429,1.0,[1.0]
ICLR_2024_oral_10,3,0.7602,0.3077,0.4727272727272727,0.5,1.0,[1.0]
ICLR_2024_oral_10,4,0.7491,0.2542,0.3886255924170616,0.3509,1.0,[1.0]
ICLR_2024_oral_10,5,0.8123,0.5811,0.7172413793103448,0.7143,0.0,[np.float64(0.0)]
ICLR_2024_oral_10,6,0.7821,0.4324,0.6285714285714286,0.5455,0.3333333333333333,[np.float64(0.3333333333333333)]
ICLR_2024_oral_10,7,0.6177,0.3521,0.5038167938931297,0.4571,0.0,[np.float64(0.0)]
ICLR_2024_oral_10,8,0.7446,0.5132,0.6615384615384615,0.6471,1.0,[1.0]
ICLR_2024_oral_10,9,0.9176,0.6023,0.7466666666666667,0.7442,0.5882352941176471,[np.float64(0.5882352941176471)]
ICLR_2024_oral_10,10,0.2726,0.4531,0.5684210526315789,0.5714,1.0,[1.0]
ICLR_2024_oral_10,11,0.4431,0.3822,0.5772357723577236,0.6061,1.0,[1.0]
ICLR_2024_oral_11,1,0.7921,0.35,0.4383561643835616,0.4545,1.0,[1.0]
ICLR_2024_oral_11,2,0.7459,0.15,0.358974358974359,0.2143,1.0,[1.0]
ICLR_2024_oral_11,3,0.6412,0.3833,0.5607476635514018,0.6,0.8235294117647058,[np.float64(0.8235294117647058)]
ICLR_2024_oral_11,5,0.7757,0.8117,0.8074245939675174,0.9245,0.0,[np.float64(0.0)]
ICLR_2024_oral_13,1,0.6375,0.3837,0.5949367088607594,0.6531,1.0,[np.float64(1.0)]
ICLR_2024_oral_13,2,0.7634,0.5541,0.7323943661971831,0.6842,1.0,[1.0]
ICLR_2024_oral_13,3,0.7439,0.4712,0.7156862745098039,0.76,0.0,[np.float64(0.0)]
ICLR_2024_oral_13,4,0.1731,0.1667,0.15819209039548024,0.2376,1.0,[1.0]
ICLR_2024_oral_13,5,0.7663,0.8462,0.91324200913242,0.9153,1.0,[1.0]
ICLR_2024_oral_13,6,0.7319,0.4066,0.5413533834586466,0.5,1.0,[1.0]
ICLR_2024_oral_13,7,0.5306,0.3188,0.45925925925925926,0.4118,1.0,[1.0]
ICLR_2024_oral_14,1,0.0738,0.2155,0.3501683501683502,0.3896,0.0,[np.float64(0.0)]
ICLR_2024_oral_14,2,0.7663,0.3108,0.5957446808510638,0.6,0.9411764705882353,[np.float64(0.9411764705882353)]
ICLR_2024_oral_14,3,0.532,0.6141,0.29721362229102166,0.7126,1.0,[1.0]
ICLR_2024_oral_14,4,0.3741,0.4107,0.5325443786982249,0.5,0.0,[np.float64(0.0)]
ICLR_2024_oral_14,5,0.2244,0.3147,0.45,0.4348,0.0,[np.float64(0.0)]
ICLR_2024_oral_14,6,1.0,1.0,1.0,1.0,0.0,[np.float64(0.0)]
ICLR_2024_oral_14,7,0.7941,0.8967,0.8672985781990521,0.807,1.0,[1.0]
ICLR_2024_oral_14,8,0.8204,0.8553,0.9041095890410958,0.878,1.0,[1.0]
ICLR_2024_oral_14,9,0.7022,0.4118,0.5670103092783505,0.5926,1.0,[1.0]
ICLR_2024_oral_15,1,0.7393,0.2938,0.5014925373134328,0.4301,1.0,[1.0]
ICLR_2024_oral_15,2,0.7456,0.6452,0.7333333333333333,0.7692,1.0,[1.0]
ICLR_2024_oral_15,3,0.9024,0.8228,0.903448275862069,0.8974,1.0,[1.0]
ICLR_2024_oral_15,4,0.7511,0.5684,0.7126436781609196,0.72,1.0,[1.0]
ICLR_2024_oral_15,5,0.4918,0.5286,0.6724137931034483,0.5517,1.0,[1.0]
ICLR_2024_oral_15,6,0.7909,0.7656,0.8173913043478261,0.8889,0.6666666666666666,"[1.0, np.float64(0.0), 1.0]"
ICLR_2024_oral_16,1,0.0762,0.1769,0.2413793103448276,0.3556,1.0,[1.0]
ICLR_2024_oral_16,2,0.924,0.8315,0.9036144578313253,0.9167,0.1875,[np.float64(0.1875)]
ICLR_2024_oral_16,3,0.8067,0.3713,0.43703703703703706,0.4932,1.0,[1.0]
ICLR_2024_oral_16,4,0.7293,0.4167,0.5534591194968553,0.6341,1.0,[1.0]
ICLR_2024_oral_16,5,0.6946,0.6512,0.488,0.7273,0.75,"[1.0, np.float64(0.25), 1.0]"
ICLR_2024_oral_16,6,0.7644,0.9794,0.9895833333333334,1.0,0.0,[np.float64(0.0)]
ICLR_2024_oral_16,7,0.0728,0.2128,0.28191489361702127,0.3171,1.0,[np.float64(1.0)]
ICLR_2024_oral_16,8,0.4876,0.4957,0.6054054054054054,0.6122,1.0,[1.0]
ICLR_2024_oral_16,9,0.5995,0.3596,0.30886075949367087,0.5192,1.0,[np.float64(1.0)]
ICLR_2024_oral_16,10,0.45,0.4662,0.514018691588785,0.5614,1.0,[1.0]
ICLR_2024_oral_21,1,0.5744,0.6667,0.8041237113402062,0.8667,0.75,[np.float64(0.75)]
ICLR_2024_oral_21,2,0.1115,0.2812,0.3058823529411765,0.3333,1.0,[1.0]
ICLR_2024_oral_21,3,0.6741,0.6429,0.770949720670391,0.7273,1.0,[1.0]
ICLR_2024_oral_23,1,0.4822,0.5455,0.625,0.6286,1.0,[1.0]
ICLR_2024_oral_23,2,0.7463,0.4451,0.6153846153846154,0.642,1.0,[1.0]
ICLR_2024_oral_23,3,0.8148,0.4697,0.6201550387596899,0.6486,1.0,[1.0]
ICLR_2024_oral_23,4,0.393,0.3537,0.5294117647058824,0.4444,1.0,[1.0]
ICLR_2024_oral_23,5,0.7665,0.6221,0.6835443037974683,0.7356,1.0,[1.0]
ICLR_2024_oral_23,6,0.6953,0.6364,0.6122448979591837,0.7727,1.0,[1.0]
ICLR_2024_oral_23,7,0.7924,0.388,0.49454545454545457,0.5432,0.0,[np.float64(0.0)]
ICLR_2024_oral_23,8,0.4702,0.3832,0.555956678700361,0.5128,1.0,[np.float64(1.0)]
ICLR_2024_oral_23,9,0.3478,0.4266,0.5288753799392097,0.4598,0.0,[np.float64(0.0)]
ICLR_2024_oral_23,10,0.2241,0.25,0.28,0.2642,0.85,[np.float64(0.85)]
ICLR_2024_oral_23,11,0.1805,0.4279,0.5369127516778524,0.6173,1.0,[1.0]
ICLR_2024_oral_23,12,0.7815,0.2958,0.5426356589147286,0.4516,1.0,[1.0]
ICLR_2024_oral_24,1,0.5491,0.2203,0.32075471698113206,0.4375,0.95,[np.float64(0.95)]
ICLR_2024_oral_24,2,0.6696,0.4737,0.6961325966850829,0.7797,0.0,[np.float64(0.0)]
ICLR_2024_oral_24,3,0.4769,0.4526,0.675,0.72,1.0,[1.0]
ICLR_2024_oral_24,4,0.2289,0.3143,0.3815789473684211,0.4167,0.0,[np.float64(0.0)]
ICLR_2024_oral_24,5,0.3192,0.3095,0.3799126637554585,0.3824,1.0,[1.0]
ICLR_2024_oral_24,6,0.7626,0.349,0.3552123552123552,0.3733,0.0,[np.float64(0.0)]
ICLR_2024_oral_24,7,0.1403,0.246,0.20705882352941177,0.3281,0.6666666666666666,[np.float64(0.6666666666666666)]
ICLR_2024_oral_24,8,0.2372,0.3154,0.3611111111111111,0.3529,1.0,[1.0]
ICLR_2024_oral_24,9,0.738,0.3851,0.47191011235955055,0.45,0.6666666666666666,[np.float64(0.6666666666666666)]
ICLR_2024_oral_24,10,0.4726,0.3775,0.5770750988142292,0.5,1.0,[1.0]
ICLR_2024_oral_24,11,0.2021,0.2555,0.34515366430260047,0.2636,1.0,[1.0]
ICLR_2024_oral_24,12,0.0994,0.2351,0.29012345679012347,0.3636,0.0,[np.float64(0.0)]
ICLR_2024_oral_25,1,0.0219,0.0924,0.09352517985611511,0.2667,1.0,[1.0]
ICLR_2024_oral_25,2,0.0018,0.0794,0.11170212765957446,0.0842,1.0,[1.0]
ICLR_2024_oral_25,3,0.1944,0.2756,0.32044198895027626,0.1364,0.6060606060606061,[np.float64(0.6060606060606061)]
ICLR_2024_oral_26,1,0.3145,0.2636,0.12716763005780346,0.2128,1.0,[1.0]
ICLR_2024_oral_26,2,0.4227,0.4459,0.5984251968503937,0.6,0.75,[np.float64(0.75)]
ICLR_2024_oral_26,3,0.4209,0.5368,0.6114649681528662,0.6667,0.5,[np.float64(0.5)]
ICLR_2024_oral_26,4,0.7718,0.2823,0.3880597014925373,0.3111,0.6153846153846154,[np.float64(0.6153846153846154)]
ICLR_2024_oral_26,5,0.6875,0.1807,0.2571428571428571,0.2941,0.7727272727272727,[np.float64(0.7727272727272727)]
ICLR_2024_oral_27,1,0.7989,0.6759,0.8066298342541437,0.88,0.0,[np.float64(0.0)]
ICLR_2024_oral_27,2,0.2574,0.2614,0.42424242424242425,0.4483,1.0,[1.0]
ICLR_2024_oral_27,3,0.2432,0.3077,0.5057471264367817,0.4151,1.0,[1.0]
ICLR_2024_oral_27,4,0.0717,0.2375,0.38,0.3871,1.0,[1.0]
ICLR_2024_oral_27,5,0.7637,0.6296,0.7044025157232704,0.6087,0.8888888888888888,[np.float64(0.8888888888888888)]
ICLR_2024_oral_27,6,0.0865,0.24,0.36024844720496896,0.439,0.46153846153846156,[np.float64(0.46153846153846156)]
ICLR_2024_oral_27,7,0.0655,0.2973,0.45454545454545453,0.459,0.95,[np.float64(0.95)]
ICLR_2024_oral_28,1,0.8097,0.6977,0.8023255813953488,0.8148,0.12903225806451613,[np.float64(0.12903225806451613)]
ICLR_2024_oral_28,2,0.6857,0.3694,0.5887850467289719,0.623,1.0,[1.0]
ICLR_2024_oral_28,3,0.7494,0.6591,0.7631578947368421,0.7727,1.0,[1.0]
ICLR_2024_oral_28,4,0.8435,0.6522,0.7560975609756098,0.7391,1.0,[1.0]
ICLR_2024_oral_28,5,0.7964,0.3799,0.5714285714285714,0.5301,0.0,[np.float64(0.0)]
ICLR_2024_oral_29,1,0.0478,0.1667,0.27350427350427353,0.1875,0.5789473684210527,[np.float64(0.5789473684210527)]
ICLR_2024_oral_29,2,0.5192,0.6486,0.7642276422764228,0.7222,0.4666666666666667,[np.float64(0.4666666666666667)]
ICLR_2024_oral_29,3,0.7525,0.497,0.617363344051447,0.641,1.0,[1.0]
ICLR_2024_oral_29,4,0.6963,0.5962,0.7291666666666666,0.6667,0.0,[np.float64(0.0)]
